Batch Size per GPU: 1
Total trianing steps: 69600
TR, GPU ID : 5, ST: 31, BN: 31, loss : 2.376455545425415, lr : 0.00016
TR, GPU ID : 3, ST: 31, BN: 31, loss : 1.853434443473816, lr : 0.00016
TR, GPU ID : 1, ST: 31, BN: 31, loss : 1.603360652923584, lr : 0.00016
TR, GPU ID : 6, ST: 31, BN: 31, loss : 1.5383491516113281, lr : 0.00016
TR, GPU ID : 2, ST: 31, BN: 31, loss : 1.6989072561264038, lr : 0.00016
TR, GPU ID : 0, ST: 31, BN: 31, loss : 3.070575714111328, lr : 0.00016
TR, GPU ID : 7, ST: 32, BN: 32, loss : 3.793383836746216, lr : 0.000165
TR, GPU ID : 5, ST: 32, BN: 32, loss : 2.629887819290161, lr : 0.000165
TR, GPU ID : 4, ST: 32, BN: 32, loss : 2.7131927013397217, lr : 0.000165
TR, GPU ID : 1, ST: 32, BN: 32, loss : 3.252725601196289, lr : 0.000165
TR, GPU ID : 6, ST: 32, BN: 32, loss : 1.376183032989502, lr : 0.000165
TR, GPU ID : 3, ST: 32, BN: 32, loss : 1.8278130292892456, lr : 0.000165
TR, GPU ID : 2, ST: 32, BN: 32, loss : 1.554151177406311, lr : 0.000165
TR, GPU ID : 0, ST: 32, BN: 32, loss : 3.3187131881713867, lr : 0.000165
TR, GPU ID : 4, ST: 33, BN: 33, loss : 2.562913179397583, lr : 0.00017
TR, GPU ID : 2, ST: 33, BN: 33, loss : 2.1136200428009033, lr : 0.00017
TR, GPU ID : 5, ST: 33, BN: 33, loss : 1.8783454895019531, lr : 0.00017
TR, GPU ID : 7, ST: 33, BN: 33, loss : 1.8429961204528809, lr : 0.00017
TR, GPU ID : 1, ST: 33, BN: 33, loss : 2.5215072631835938, lr : 0.00017
TR, GPU ID : 3, ST: 33, BN: 33, loss : 1.6641768217086792, lr : 0.00017
TR, GPU ID : 0, ST: 33, BN: 33, loss : 2.4978368282318115, lr : 0.00017
TR, GPU ID : 6, ST: 33, BN: 33, loss : 2.120429515838623, lr : 0.00017
TR, GPU ID : 7, ST: 34, BN: 34, loss : 1.291875958442688, lr : 0.00017500000000000003
TR, GPU ID : 4, ST: 34, BN: 34, loss : 3.050844192504883, lr : 0.00017500000000000003
TR, GPU ID : 5, ST: 34, BN: 34, loss : 2.1478166580200195, lr : 0.00017500000000000003
TR, GPU ID : 0, ST: 34, BN: 34, loss : 2.0431201457977295, lr : 0.00017500000000000003
TR, GPU ID : 6, ST: 34, BN: 34, loss : 2.0831046104431152, lr : 0.00017500000000000003
TR, GPU ID : 1, ST: 34, BN: 34, loss : 2.594080924987793, lr : 0.00017500000000000003
TR, GPU ID : 2, ST: 34, BN: 34, loss : 3.414447069168091, lr : 0.00017500000000000003
TR, GPU ID : 3, ST: 34, BN: 34, loss : 2.373974084854126, lr : 0.00017500000000000003
TR, GPU ID : 4, ST: 35, BN: 35, loss : 1.675148367881775, lr : 0.00017999999999999998
TR, GPU ID : 7, ST: 35, BN: 35, loss : 2.335907220840454, lr : 0.00017999999999999998
TR, GPU ID : 5, ST: 35, BN: 35, loss : 1.6137571334838867, lr : 0.00017999999999999998
TR, GPU ID : 1, ST: 35, BN: 35, loss : 1.4909013509750366, lr : 0.00017999999999999998
TR, GPU ID : 3, ST: 35, BN: 35, loss : 2.3402516841888428, lr : 0.00017999999999999998
TR, GPU ID : 6, ST: 35, BN: 35, loss : 1.792930006980896, lr : 0.00017999999999999998
TR, GPU ID : 0, ST: 35, BN: 35, loss : 1.288338541984558, lr : 0.00017999999999999998
TR, GPU ID : 2, ST: 35, BN: 35, loss : 1.8269239664077759, lr : 0.00017999999999999998
TR, GPU ID : 7, ST: 36, BN: 36, loss : 2.453270673751831, lr : 0.000185
TR, GPU ID : 2, ST: 36, BN: 36, loss : 2.9799177646636963, lr : 0.000185
TR, GPU ID : 3, ST: 36, BN: 36, loss : 2.80627179145813, lr : 0.000185
TR, GPU ID : 4, ST: 36, BN: 36, loss : 1.873671054840088, lr : 0.000185
